amountAfterTax,duration,connectionCount,stopCount,departureTime
528.84,670,1,0,08:45
470.09,767,2,0,10:10
527.14,385,0,0,10:00
465.99,696,1,0,10:10
528.84,648,1,0,08:45
527.14,385,0,0,10:00
528.84,594,1,0,08:45
470.09,767,2,0,10:10
520.24,545,1,0,08:45
461.89,696,1,0,10:10
465.99,822,2,0,09:15
470.09,804,2,0,05:15
528.84,545,1,0,08:45
470.09,767,2,0,10:10
470.09,722,2,0,12:30
520.24,670,1,0,08:45
470.09,822,2,0,09:15
470.09,822,2,0,09:15
470.09,822,2,0,09:15
470.09,804,2,0,05:15
528.84,623,1,0,08:45
520.24,563,1,0,08:45
528.84,545,1,0,08:45
470.09,822,2,0,09:15
520.24,594,1,0,08:45
465.99,822,2,0,09:15
465.99,696,1,0,10:10
465.99,696,1,0,10:10
465.99,804,2,0,05:15
465.99,767,2,0,10:10
470.09,722,2,0,12:30
470.09,804,2,0,05:15
465.99,696,1,0,10:10
528.84,563,1,0,08:45
465.99,556,1,0,12:30
528.84,670,1,0,08:45
528.84,670,1,0,08:45
520.24,670,1,0,08:45
528.84,563,1,0,08:45
470.09,822,2,0,09:15
470.09,822,2,0,09:15
528.84,594,1,0,08:45
528.84,563,1,0,08:45
470.09,722,2,0,12:30
470.09,804,2,0,05:15
461.89,556,1,0,12:30
470.09,822,2,0,09:15
465.99,556,1,0,12:30
520.24,623,1,0,08:45
528.84,545,1,0,08:45
465.99,804,2,0,05:15
470.09,822,2,0,09:15
528.84,594,1,0,08:45
528.84,623,1,0,08:45
528.84,594,1,0,08:45
527.14,384,0,0,18:30
470.09,722,2,0,12:30
528.84,648,1,0,08:45
470.09,822,2,0,09:15
465.99,767,2,0,10:10
528.84,563,1,0,08:45
465.99,722,2,0,12:30
470.09,822,2,0,09:15
465.99,822,2,0,09:15
528.84,648,1,0,08:45
528.84,594,1,0,08:45
461.89,696,1,0,10:10
470.09,722,2,0,12:30
461.89,556,1,0,12:30
520.24,648,1,0,08:45
465.99,822,2,0,09:15
470.09,722,2,0,12:30
520.24,545,1,0,08:45
465.99,556,1,0,12:30
470.09,767,2,0,10:10
520.24,563,1,0,08:45
465.99,556,1,0,12:30
465.99,556,1,0,12:30
528.84,670,1,0,08:45
528.84,670,1,0,08:45
470.09,822,2,0,09:15
465.99,722,2,0,12:30
527.14,384,0,0,18:30
470.09,767,2,0,10:10
528.84,545,1,0,08:45
528.84,648,1,0,08:45
470.09,804,2,0,05:15
528.84,648,1,0,08:45
528.84,623,1,0,08:45
465.99,696,1,0,10:10
520.24,623,1,0,08:45
528.84,670,1,0,08:45
470.09,804,2,0,05:15
470.09,822,2,0,09:15
465.99,696,1,0,10:10
520.24,594,1,0,08:45
465.99,556,1,0,12:30
520.24,648,1,0,08:45
528.84,623,1,0,08:45
470.09,767,2,0,10:10
